url,repo_indexable,production_sitemap,gsc_known,gsc_indexed,http_status,robots,canonical,google_canonical,last_crawl,discovery_source,cluster,page_type,main_content_inlinks,click_depth,decision
https://familyboard.win/guides/chore-chart-for-adults/,NO,NO,YES,NO,200,"noindex,follow",https://familyboard.win/guides/chore-chart-for-adults/,,,unknown,,,,3,known but not indexed
https://familyboard.win/guides/coffee-maker-maintenance-guide/,NO,NO,YES,YES,200,"noindex,follow",https://familyboard.win/guides/coffee-maker-maintenance-guide/,,,unknown,,,,3,GSC indexed
https://familyboard.win/guides/condo-maintenance-checklist/,NO,NO,YES,YES,200,"noindex,follow",https://familyboard.win/guides/condo-maintenance-checklist/,,,unknown,,,,3,GSC indexed
https://familyboard.win/guides/digital-home-binder/,NO,NO,YES,YES,200,"noindex,follow",https://familyboard.win/guides/digital-home-binder/,,,unknown,,,,3,GSC indexed
https://familyboard.win/guides/dishwasher-maintenance-checklist/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/guides/dishwasher-maintenance-checklist/,,,sitemap,,,7,2,GSC indexed
https://familyboard.win/guides/dryer-maintenance-checklist/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/guides/dryer-maintenance-checklist/,,,sitemap,,,8,2,GSC indexed
https://familyboard.win/guides/emergency-information-sheet/,NO,NO,YES,NO,200,"noindex,follow",https://familyboard.win/guides/emergency-information-sheet/,,,unknown,,,,3,known but not indexed
https://familyboard.win/guides/fall-home-maintenance-checklist/,NO,NO,YES,YES,200,"noindex,follow",https://familyboard.win/guides/fall-home-maintenance-checklist/,,,unknown,,,,3,GSC indexed
https://familyboard.win/guides/family-chore-system/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/guides/family-chore-system/,,,sitemap,,,5,2,GSC indexed
https://familyboard.win/guides/family-continuity-plan/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/guides/family-continuity-plan/,,,sitemap,,,5,2,GSC indexed
https://familyboard.win/guides/first-time-homeowner-maintenance-guide/,NO,NO,YES,NO,200,"noindex,follow",https://familyboard.win/guides/first-time-homeowner-maintenance-guide/,,,unknown,,,,3,known but not indexed
https://familyboard.win/guides/freezer-maintenance-checklist/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/guides/freezer-maintenance-checklist/,,,sitemap,,,7,2,GSC indexed
https://familyboard.win/guides/garbage-disposal-maintenance-guide/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/guides/garbage-disposal-maintenance-guide/,,,sitemap,,,7,2,GSC indexed
https://familyboard.win/guides/guest-preparation-checklist/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/guides/guest-preparation-checklist/,,,sitemap,,,5,2,GSC indexed
https://familyboard.win/guides/home-evacuation-information/,NO,NO,YES,YES,200,"noindex,follow",https://familyboard.win/guides/home-evacuation-information/,,,unknown,,,,3,GSC indexed
https://familyboard.win/guides/home-inventory-checklist/,NO,NO,YES,YES,200,"noindex,follow",https://familyboard.win/guides/home-inventory-checklist/,,,unknown,,,,2,GSC indexed
https://familyboard.win/guides/home-inventory-for-insurance/,NO,NO,YES,YES,200,"noindex,follow",https://familyboard.win/guides/home-inventory-for-insurance/,,,unknown,,,,3,GSC indexed
https://familyboard.win/guides/home-maintenance-after-vacation/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/guides/home-maintenance-after-vacation/,,,sitemap,,,6,2,GSC indexed
https://familyboard.win/guides/home-repair-history/,NO,NO,YES,YES,200,"noindex,follow",https://familyboard.win/guides/home-repair-history/,,,unknown,,,,3,GSC indexed
https://familyboard.win/guides/home-service-provider-list/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/guides/home-service-provider-list/,,,sitemap,,,11,2,GSC indexed
https://familyboard.win/guides/house-sitter-information/,NO,NO,YES,YES,200,"noindex,follow",https://familyboard.win/guides/house-sitter-information/,,,unknown,,,,3,GSC indexed
https://familyboard.win/guides/household-admin-backup-person/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/guides/household-admin-backup-person/,,,sitemap,,,5,2,GSC indexed
https://familyboard.win/guides/household-documents-organizer/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/guides/household-documents-organizer/,,,sitemap,,,4,2,GSC indexed
https://familyboard.win/guides/household-management-checklist/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/guides/household-management-checklist/,,,sitemap,,,6,2,GSC indexed
https://familyboard.win/guides/household-replacement-reserve/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/guides/household-replacement-reserve/,,,sitemap,,,6,2,GSC indexed
https://familyboard.win/guides/household-shopping-staples/,NO,NO,YES,NO,200,"noindex,follow",https://familyboard.win/guides/household-shopping-staples/,,,unknown,,,,3,known but not indexed
https://familyboard.win/guides/household-supplies-inventory/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/guides/household-supplies-inventory/,,,sitemap,,,7,2,GSC indexed
